30305,2009,6.216,7.147,5.285,30305,2009,489,30305,2009,4.0,0.8,0.0,0.0,74.0,15.1,75.0,15.3,52.0,10.6,23.0,4.7,,,,,,,,,,30305,2009,1.4,0.2,1.0,97.1,0.0,53.4,46.6,,,,,,,,30305,2009,37,196,"Non-Drug, Non-Violent or Non-Criminal Related Offense",In-school suspension,30305,2009,Albert F Ford Middle School,0,Middle,Acushnet,41.7249,-70.9028,30305,2009,30000
30305,2010,5.62,6.474,4.766,30305,2010,482,30305,2010,7.0,1.5,0.0,0.0,67.0,13.9,83.0,17.2,54.0,11.2,29.0,6.0,,,,,,,,,,30305,2010,1.0,0.2,0.6,98.1,0.0,54.1,45.9,,,,,,,,30305,2010,28,38,"Non-Drug, Non-Violent or Non-Criminal Related Offense",In-school suspension,30305,2010,Albert F Ford Middle School,0,Middle,Acushnet,41.724863,-70.902818,30305,2010,30000
30305,2011,5.632,6.466,4.799,30305,2011,483,30305,2011,6.0,1.2,0.0,0.0,70.0,14.5,109.0,22.6,73.0,15.1,36.0,7.5,,,,,,,,,,30305,2011,0.6,0.2,0.4,98.8,0.0,53.2,46.8,,,,,,,,30305,2011,26,30,"Non-Drug, Non-Violent or Non-Criminal Related Offense",In-school suspension,30305,2011,Albert F Ford Middle School,0,Middle,Acushnet,41.724287,-70.906745,30305,2011,30000
30305,2012,5.896,6.49,5.303,30305,2012,485,30305,2012,10.0,2.1,2.0,0.4,73.0,15.1,125.0,25.8,85.0,17.5,40.0,8.2,,,,,,,,,,30305,2012,0.6,0.4,0.4,98.6,0.0,52.4,47.6,,,,,,,,30305,2012,11,31,"Non-Drug, Non-Violent or Non-Criminal Related Offense",In-school suspension,30305,2012,Albert F Ford Middle School,0,Middle,Acushnet,41.72309,-70.90549,30305,2012,30000
30305,2013,6.737,6.835,6.639,30305,2013,461,30305,2013,8.0,1.7,2.0,0.4,79.0,17.1,133.0,28.9,94.0,20.4,39.0,8.5,175.0,38.0,,,,,,,,30305,2013,0.9,0.4,0.0,98.5,0.0,52.1,47.9,,,,,,,,30305,2013,12,12,"Non-Drug, Non-Violent or Non-Criminal Related Offense",In-school suspension,30305,2013,Albert F Ford Middle School,0,Middle,Acushnet,41.72487,-70.902811,30305,2013,30000
30305,2014,6.193,6.514,5.872,30305,2014,456,30305,2014,9.0,2.0,3.0,0.7,69.0,15.1,105.0,23.0,73.0,16.0,32.0,7.0,146.0,32.0,,,,,,,,30305,2014,1.1,0.7,0.2,97.8,0.0,48.9,51.1,,,,,,,,30305,2014,21,23,"Non-Drug, Non-Violent or Non-Criminal Related Offense",In-school suspension,30305,2014,Albert F Ford Middle School,0,Middle,Acushnet,41.7231,-70.9055,30305,2014,30000
30305,2004,4.452,,4.452,30305,2004,550,30305,2004,0.0,0.0,0.0,0.0,60.0,10.9,76.0,13.8,,,,,,,,,,,,,,30305,2004,1.5,0.2,0.0,98.4,0.0,52.0,48.0,,,,,,,,30305,2004,59,149,"Non-Drug, Non-Violent or Non-Criminal Related Offense",In-school suspension,30305,2004,Albert F Ford Middle School,0,Middle,Acushnet,41.722146,-70.906089,30305,2004,3
50405,2002,4.597,,4.597,50405,2002,677,50405,2002,15.0,2.2,5.0,0.7,0.0,0.0,86.0,12.7,,,,,,,,,,,,,,50405,2002,1.2,1.8,2.8,93.9,0.3,48.7,51.3,,,,,,,,,,,,,,50405,2002,Agawam Junior High,0,Middle,Feeding Hills,42.067831,-72.672896,50405,2002,5
50405,2003,4.223,,4.223,50405,2003,719,50405,2003,33.0,4.6,6.0,0.8,0.0,0.0,94.0,13.1,,,,,,,,,,,,,,50405,2003,1.4,1.8,2.8,93.7,0.3,51.2,48.8,,,,,,,,,,,,,,50405,2003,Agawam Junior High,0,Middle,Feeding Hills,42.067831,-72.672896,50405,2003,5
50405,2005,4.3,,4.3,50405,2005,712,50405,2005,22.0,3.1,5.0,0.7,100.0,14.0,133.0,18.7,,,,,,,,,,,,,,50405,2005,1.8,1.7,2.8,93.5,0.1,51.3,48.7,,,,,,,,50405,2005,51,183,"Non-Drug, Non-Violent or Non-Criminal Related Offense",In-school suspension,50405,2005,Agawam Junior High,0,Middle,Feeding Hills,42.06732,-72.67384,50405,2005,5
